name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Zaza Pachulia,Golden State Warriors,11/2/2017,2017,2016,1610612744,400974868,3,5,57,0,Jump Shot,2PT Field Goal,18,San Antonio Spurs,-7,181,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,4,7,10,1,Jump Shot,3PT Field Goal,27,San Antonio Spurs,-19,279,0,0,,0,0
Kevin Durant,Golden State Warriors,10/27/2017,2017,3202,1610612744,400974826,1,3,40,0,Jump Shot,3PT Field Goal,27,Washington Wizards,-157,222,0,0,,0,0
Draymond Green,Golden State Warriors,2/8/2018,2017,6589,1610612744,400975561,2,2,33,0,Jump Shot,3PT Field Goal,25,Dallas Mavericks,107,233,0,0,,0,0
Andre Iguodala,Golden State Warriors,3/2/2018,2017,2386,1610612744,400975674,1,3,54,0,Jump Shot,2PT Field Goal,16,Atlanta Hawks,150,59,0,0,,0,0
Stephen Curry,Golden State Warriors,2/10/2018,2017,3975,1610612744,400975577,1,3,50,1,Jump Shot,3PT Field Goal,23,San Antonio Spurs,223,66,0,0,,0,0
Nick Young,Golden State Warriors,10/17/2017,2017,3243,1610612744,400974438,2,11,25,1,Jump Shot,3PT Field Goal,27,Houston Rockets,-6,272,0,0,,0,0
Klay Thompson,Golden State Warriors,2/8/2018,2017,6475,1610612744,400975561,2,2,6,0,Jump Shot,3PT Field Goal,26,Dallas Mavericks,4,267,0,0,,0,0
Andre Iguodala,Golden State Warriors,11/2/2017,2017,2386,1610612744,400974868,4,9,56,0,Jump Shot,3PT Field Goal,26,San Antonio Spurs,138,221,0,0,,0,0
Draymond Green,Golden State Warriors,1/27/2018,2017,6589,1610612744,400975474,2,4,32,0,Jump Shot,3PT Field Goal,25,Boston Celtics,-169,193,0,0,,0,0
David West,Golden State Warriors,2/8/2018,2017,2177,1610612744,400975561,2,5,51,0,Jump Shot,2PT Field Goal,17,Dallas Mavericks,105,144,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,1,10,28,0,Jump Shot,2PT Field Goal,7,San Antonio Spurs,36,68,0,0,,0,0
Stephen Curry,Golden State Warriors,10/17/2017,2017,3975,1610612744,400974438,1,8,9,1,Jump Shot,3PT Field Goal,25,Houston Rockets,95,242,0,0,,0,0
Stephen Curry,Golden State Warriors,10/30/2017,2017,3975,1610612744,400974851,3,3,53,1,Jump Shot,3PT Field Goal,25,Los Angeles Clippers,154,201,0,0,,0,0
Nick Young,Golden State Warriors,11/4/2017,2017,3243,1610612744,400974886,4,4,49,1,Jump Shot,3PT Field Goal,25,Denver Nuggets,139,215,0,0,,0,0
Klay Thompson,Golden State Warriors,2/8/2018,2017,6475,1610612744,400975561,2,1,37,0,Jump Shot,3PT Field Goal,27,Dallas Mavericks,-172,212,0,0,,0,0
Kevin Durant,Golden State Warriors,10/17/2017,2017,3202,1610612744,400974438,4,1,11,0,Jump Shot,2PT Field Goal,8,Houston Rockets,-8,87,0,0,,0,0
Klay Thompson,Golden State Warriors,2/8/2018,2017,6475,1610612744,400975561,2,7,36,0,Jump Shot,3PT Field Goal,26,Dallas Mavericks,-30,263,0,0,,0,0
Kevin Durant,Golden State Warriors,11/2/2017,2017,3202,1610612744,400974868,4,5,58,1,Jump Shot,2PT Field Goal,18,San Antonio Spurs,80,167,0,0,,0,0
Patrick McCaw,Golden State Warriors,11/2/2017,2017,3137730,1610612744,400974868,4,3,13,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,163,197,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,1,10,30,1,Jump Shot,3PT Field Goal,22,Houston Rockets,-228,16,0,0,,0,0
Nick Young,Golden State Warriors,3/31/2018,2017,3243,1610612744,400975888,4,1,3,0,Jump Shot,3PT Field Goal,26,Sacramento Kings,-102,241,0,0,,0,0
Kevin Durant,Golden State Warriors,11/2/2017,2017,3202,1610612744,400974868,3,3,34,1,Jump Shot,2PT Field Goal,16,San Antonio Spurs,112,121,0,0,,0,0
Nick Young,Golden State Warriors,10/17/2017,2017,3243,1610612744,400974438,2,4,41,1,Jump Shot,3PT Field Goal,28,Houston Rockets,-154,237,0,0,,0,0
Stephen Curry,Golden State Warriors,10/27/2017,2017,3975,1610612744,400974826,3,0,57,1,Jump Shot,3PT Field Goal,27,Washington Wizards,111,255,0,0,,0,0
Stephen Curry,Golden State Warriors,1/23/2018,2017,3975,1610612744,400975445,2,1,22,1,Jump Shot,3PT Field Goal,25,New York Knicks,-170,188,0,0,,0,0
Draymond Green,Golden State Warriors,11/2/2017,2017,6589,1610612744,400974868,3,11,45,1,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-8,254,0,0,,0,0
